clusters_2030,CVEGEO,total_hospitales_2030,total_consultorios_2030,total_medicos_2030,total_enfermeros_2030,total_practicantes_medicos_2030,POBTOT_2030,POBMAS_2030,POBFEM_2030,PSINDER_2030,PDER_SS_2030,VIVTOT_2030,VPH_S_ELEC_2030,VPH_AGUAFV_2030,VPH_NODREN_2030
0,1400100010067,0.0,0.0,0.0,0.0,0.0,1434,667,773,341,1206,636,1,5,1
0,1400100010071,0.0,0.0,0.0,0.0,0.0,2130,845,1210,532,1434,1105,1,3,0
0,1400100010103,0.0,0.0,0.0,0.0,0.0,1563,718,850,352,1226,480,1,1,1
0,1400100010118,0.0,0.0,0.0,0.0,0.0,811,426,385,215,627,379,1,0,1
0,1400100010122,3.0,661.0,553.0,784.0,1638.0,1994,1039,956,627,1399,766,1,0,1
0,1400100010137,0.0,0.0,0.0,0.0,0.0,368,176,236,207,197,144,1,1,1
0,1400100010141,0.0,0.0,0.0,0.0,0.0,198,99,99,29,192,47,1,1,1
0,1400100010156,0.0,0.0,0.0,0.0,0.0,18,15,4,25,2,10,1,1,1
0,1400100010160,0.0,0.0,0.0,0.0,0.0,261,149,113,78,185,78,1,1,1
0,1400100010175,0.0,0.0,0.0,0.0,0.0,63,27,35,17,45,16,1,1,1
0,140010001018A,0.0,0.0,0.0,0.0,0.0,3,1,1,0,1,0,1,1,1
0,1400100010194,0.0,0.0,0.0,0.0,0.0,1808,730,1122,578,1274,854,1,2,0
0,1400100010207,0.0,0.0,0.0,0.0,0.0,971,386,611,331,658,447,1,0,1
0,1400100010211,0.0,0.0,0.0,0.0,0.0,1154,565,600,295,917,493,1,0,1
0,1400100010226,0.0,0.0,0.0,0.0,0.0,1134,508,629,398,733,491,1,1,1
0,1400100010230,0.0,0.0,0.0,0.0,0.0,105,44,69,289,45,51,1,1,1
0,1400100010245,0.0,0.0,0.0,0.0,0.0,8,1,1,1,1,1,1,1,1
0,140010001025A,0.0,0.0,0.0,0.0,0.0,222,124,98,90,144,72,1,1,1
0,1400100010264,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1
0,1400100010279,0.0,0.0,0.0,0.0,0.0,24,8,21,1,20,49,1,1,1
0,1400100010283,0.0,0.0,0.0,0.0,0.0,388,147,256,64,371,86,1,1,1
0,1400100010298,0.0,0.0,0.0,0.0,0.0,3364,784,961,121,2209,441,1,1,1
0,1400100010300,0.0,0.0,0.0,0.0,0.0,529,256,49,36,289,256,1,1,1
0,1400100010315,0.0,0.0,0.0,0.0,0.0,48841,13456,13225,4225,24336,6724,1,1,1
0,1400100540033,1.0,0.0,1.0,0.0,1.0,741321,191844,178929,45796,431649,83521,1,64,1
0,140010054032A,0.0,0.0,0.0,0.0,0.0,4549689,974169,1313316,314721,2169729,487204,1,1,1
0,1400200010030,0.0,0.0,0.0,0.0,10.0,3698,1739,1990,571,3215,1542,8,1,3
0,1400200010064,0.0,0.0,0.0,0.0,0.0,4772,2288,2477,1009,4013,1782,1,3,0
0,1400200010079,0.0,0.0,0.0,0.0,0.0,1713,750,687,415,1032,404,1,1,1
0,1400200010083,0.0,0.0,0.0,0.0,0.0,128,50,80,21,125,44,1,1,1
0,1400200010098,0.0,0.0,0.0,0.0,0.0,68,33,32,5,76,27,1,1,1
0,1400200010115,0.0,0.0,0.0,0.0,0.0,327,146,170,61,324,94,1,0,1
0,140020001012A,0.0,0.0,0.0,0.0,0.0,1141,506,637,134,1046,358,1,1,1
0,1400200010134,0.0,0.0,0.0,0.0,0.0,8,1,1,1,1,1,1,1,1
0,1400200010168,0.0,0.0,0.0,0.0,0.0,14,11,4,1,14,6,1,1,1
0,1400200010191,0.0,0.0,0.0,0.0,0.0,90,31,63,55,49,36,1,1,1
0,1400200010280,0.0,0.0,0.0,0.0,0.0,316,141,175,18,448,81,1,0,1
0,1400200010295,0.0,0.0,0.0,0.0,0.0,4,1,1,1,1,4,1,1,1
0,1400200010308,0.0,0.0,0.0,0.0,0.0,324,81,81,16,196,25,1,1,1
0,1400200010312,0.0,0.0,0.0,0.0,0.0,81,1,1,1,1,4,1,1,1
0,1400200020045,9.0,36.0,30.0,21.0,10.0,4320,2023,2313,400,4236,1582,1,0,1
0,140020002005A,0.0,0.0,0.0,0.0,0.0,1092,490,607,157,947,404,1,0,1
0,1400200020100,0.0,0.0,0.0,0.0,0.0,1550,733,818,97,1951,624,1,0,48
0,1400200020149,0.0,0.0,0.0,0.0,0.0,146,289,45,225,48,65,1,1,1
0,1400200020153,0.0,0.0,0.0,0.0,0.0,521,263,239,71,481,186,1,1,1
0,1400200020172,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1
0,1400200020204,0.0,0.0,0.0,0.0,0.0,3138,1393,1770,256,2693,1760,1,1,1
0,1400200020219,0.0,0.0,0.0,0.0,0.0,20,10,11,7,20,26,1,1,1
0,1400200020223,0.0,0.0,0.0,0.0,0.0,129,53,80,20,110,56,1,1,1
0,1400200020238,0.0,0.0,0.0,0.0,0.0,130,66,60,37,93,52,1,1,1
