Cluster_Labels,CVEGEO,total_hospitales,total_consultorios,total_medicos,total_enfermeros,total_practicantes_medicos,POBTOT,POBMAS,POBFEM,PSINDER,PDER_SS,VIVTOT,VPH_S_ELEC,VPH_AGUAFV,VPH_NODREN
2,1402300010153,1,0,0,0,0,3495,1712,1712,1712,1712,1177,0,0,0
3,1400100010122,3,6,11,8,0,1286,644,644,644,644,407,0,0,0
3,1400200010030,3,8,11,6,0,3574,1767,1767,1767,1767,1329,3,0,3
2,1400200020045,1,3,4,3,0,4496,2194,2194,2194,2194,1418,0,0,0
1,1400300010146,1,5,9,7,0,565,297,297,297,297,185,0,0,0
1,1400500010066,1,2,6,3,0,2277,1092,1092,1092,1092,712,0,0,3
2,1400600010203,2,12,16,19,2,2908,1381,1381,1381,1381,1098,3,4,0
1,1400800010195,1,5,9,7,0,2166,1057,1057,1057,1057,782,0,0,0
2,1400900010065,2,3,6,2,0,2800,1357,1357,1357,1357,908,0,0,0
2,1401300010053,1,7,14,17,0,3761,1816,1816,1816,1816,1319,0,0,0
2,1401500010058,1,20,64,77,0,3718,1763,1763,1763,1763,1753,0,0,0
3,1401600010093,5,9,12,12,4,2706,1292,1292,1292,1292,905,0,0,4
3,1401700010071,4,8,8,14,1,1761,850,850,850,850,733,0,0,3
1,1401800010276,1,5,8,8,0,1040,507,507,507,507,360,0,0,0
1,1401900010131,2,10,7,7,2,1086,549,549,549,549,376,3,0,0
1,1402100010356,1,8,11,22,0,822,397,397,397,397,320,0,0,0
1,1402200010211,2,3,7,5,0,1812,882,882,882,882,652,0,0,0
1,1402200330230,2,4,8,3,0,1873,910,910,910,910,945,0,0,0
2,1402300010238,1,32,93,208,29,2675,1333,1333,1333,1333,1075,0,0,0
1,1402400010080,1,3,7,3,0,2010,958,958,958,958,824,0,0,0
1,1402500010139,1,2,5,7,0,1761,832,832,832,832,707,0,0,0
1,1403000010232,1,5,10,8,0,1452,669,669,669,669,552,0,0,0
1,140440002012A,1,3,7,5,0,2462,1204,1204,1204,1204,755,0,0,0
3,1403300010094,5,9,13,14,3,1142,522,522,522,522,589,0,0,0
3,1403500010296,4,16,24,44,7,1358,630,630,630,630,593,0,0,0
1,1403600010096,1,2,5,4,0,1098,561,561,561,561,360,0,0,0
3,1403700010110,4,14,21,59,5,2485,1201,1201,1201,1201,923,0,5,0
0,1403900011170,7,275,1341,3164,1309,4531,2234,2234,2234,2234,1922,0,0,0
2,1403900012319,1,44,189,415,93,4397,2061,2061,2061,2061,1487,0,0,0
1,1403900012145,1,41,202,496,94,1224,565,565,565,565,525,0,0,0
2,140390001083A,2,113,404,835,223,5450,2683,2683,2683,2683,1694,0,0,0
2,1403900011325,1,57,249,560,146,2359,1179,1179,1179,1179,1267,0,0,0
2,1403900012569,1,79,415,939,281,3196,1480,1480,1480,1480,1124,0,0,0
4,1403900010435,1,0,0,0,0,7566,3578,3578,3578,3578,2385,0,0,0
1,1403900012179,2,39,179,405,8,762,389,389,389,389,373,0,0,3
2,140390001172A,1,11,26,16,0,4658,2236,2236,2236,2236,1423,0,0,0
2,1403900010647,1,36,70,62,12,3054,1434,1434,1434,1434,1075,0,0,0
2,1403900012728,1,51,95,78,57,3828,1798,1798,1798,1798,1236,0,0,0
1,1403900014071,1,9,15,11,0,2395,1115,1115,1115,1115,882,0,0,0
1,1403900011927,1,11,20,14,0,2553,1192,1192,1192,1192,924,0,0,0
1,1403900013853,1,23,60,104,14,1911,896,896,896,896,648,0,0,0
1,1403900011787,1,5,9,5,0,507,263,263,263,263,249,0,0,0
2,1403900012304,1,28,54,43,59,4087,1965,1965,1965,1965,1792,0,0,0
2,1403900010651,2,10,15,12,0,3971,1952,1952,1952,1952,1506,0,0,0
