clusters,CVEGEO,total_hospitales,total_consultorios,total_medicos,total_enfermeros,total_practicantes_medicos,POBTOT,POBMAS,POBFEM,PSINDER,PDER_SS,VIVTOT,VPH_S_ELEC,VPH_AGUAFV,VPH_NODREN
0,1400100010067,0.0,0.0,0.0,0.0,0.0,1266,627,639,426,840,468,0,5,0
0,1400100010071,0.0,0.0,0.0,0.0,0.0,2073,992,1081,783,1290,901,0,4,0
0,1400100010103,0.0,0.0,0.0,0.0,0.0,1112,534,578,287,825,346,0,0,0
4,1400100010118,0.0,0.0,0.0,0.0,0.0,725,369,356,208,517,283,0,0,0
3,1400100010122,3.0,6.0,11.0,8.0,0.0,1286,644,642,407,878,407,0,0,0
4,1400100010137,0.0,0.0,0.0,0.0,0.0,190,90,100,66,124,73,0,0,0
4,1400100010141,0.0,0.0,0.0,0.0,0.0,133,67,66,36,93,35,0,0,0
4,1400100010156,0.0,0.0,0.0,0.0,0.0,30,18,12,22,8,12,0,0,0
4,1400100010160,0.0,0.0,0.0,0.0,0.0,174,93,81,54,120,50,0,0,0
4,1400100010175,0.0,0.0,0.0,0.0,0.0,62,29,33,14,48,15,0,0,0
4,140010001018A,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,1,0,0,0
0,1400100010194,0.0,0.0,0.0,0.0,0.0,1955,931,1024,705,1250,782,0,4,0
0,1400100010207,0.0,0.0,0.0,0.0,0.0,1146,535,611,409,736,461,0,0,0
0,1400100010211,0.0,0.0,0.0,0.0,0.0,1134,559,575,374,760,414,0,0,0
0,1400100010226,0.0,0.0,0.0,0.0,0.0,1140,549,591,418,722,431,0,0,0
4,1400100010230,0.0,0.0,0.0,0.0,0.0,47,22,25,17,30,16,0,0,0
4,1400100010245,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,1,0,0,0
4,140010001025A,0.0,0.0,0.0,0.0,0.0,122,65,57,33,89,37,0,0,0
4,1400100010264,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,2,0,0,0
4,1400100010279,0.0,0.0,0.0,0.0,0.0,11,3,8,0,9,7,0,0,0
4,1400100010283,0.0,0.0,0.0,0.0,0.0,115,53,62,31,84,36,0,0,0
4,1400100010298,0.0,0.0,0.0,0.0,0.0,58,28,30,11,47,21,0,0,0
4,1400100010300,0.0,0.0,0.0,0.0,0.0,23,16,7,6,17,16,0,0,0
4,1400100010315,0.0,0.0,0.0,0.0,0.0,221,106,115,65,156,82,0,0,0
4,1400100540033,1.0,1.0,1.0,1.0,1.0,861,438,423,204,657,289,0,8,0
0,140010054032A,0.0,0.0,0.0,0.0,0.0,2033,987,1046,560,1473,698,0,0,0
3,1400200010030,3.0,8.0,11.0,6.0,0.0,3574,1767,1807,818,2756,1329,3,0,3
1,1400200010064,0.0,0.0,0.0,0.0,0.0,4853,2397,2456,1058,3790,1593,0,11,0
0,1400200010079,0.0,0.0,0.0,0.0,0.0,1079,545,534,311,768,328,0,0,0
4,1400200010083,0.0,0.0,0.0,0.0,0.0,143,64,79,35,108,52,0,0,0
4,1400200010098,0.0,0.0,0.0,0.0,0.0,50,24,26,9,40,18,0,0,0
4,1400200010115,0.0,0.0,0.0,0.0,0.0,268,130,138,64,204,83,0,0,0
4,140020001012A,0.0,0.0,0.0,0.0,0.0,927,436,491,158,769,282,0,0,0
4,1400200010134,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,1,0,0,0
4,1400200010168,0.0,0.0,0.0,0.0,0.0,16,10,6,0,15,5,0,0,0
4,1400200010191,0.0,0.0,0.0,0.0,0.0,68,29,39,21,46,29,0,0,0
4,1400200010280,0.0,0.0,0.0,0.0,0.0,99,46,53,17,82,35,0,0,0
4,1400200010295,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,2,0,0,0
4,1400200010308,0.0,0.0,0.0,0.0,0.0,18,9,9,4,14,5,0,0,0
4,1400200010312,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,2,0,0,0
1,1400200020045,1.0,3.0,4.0,3.0,0.0,4496,2194,2302,706,3790,1418,0,0,0
0,140020002005A,0.0,0.0,0.0,0.0,0.0,1139,551,588,190,949,363,0,0,0
0,1400200020100,0.0,0.0,0.0,0.0,0.0,1199,582,617,158,1040,406,0,0,12
4,1400200020149,0.0,0.0,0.0,0.0,0.0,32,17,15,15,17,14,0,0,0
4,1400200020153,0.0,0.0,0.0,0.0,0.0,338,170,168,71,267,115,0,0,0
4,1400200020172,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
4,1400200020204,0.0,0.0,0.0,0.0,0.0,231,112,119,16,214,101,0,0,0
4,1400200020219,0.0,0.0,0.0,0.0,0.0,21,10,11,11,10,17,0,0,0
4,1400200020223,0.0,0.0,0.0,0.0,0.0,78,38,40,9,69,29,0,0,0
4,1400200020238,0.0,0.0,0.0,0.0,0.0,56,27,29,15,40,28,0,0,0
4,1400200020242,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,1,0,0,0
4,1400200020257,0.0,0.0,0.0,0.0,0.0,65,35,30,15,49,28,0,0,0
4,1400200020261,0.0,0.0,0.0,0.0,0.0,96,50,46,20,75,27,0,0,0
4,1400200020276,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,3,0,0,0
4,1400200020327,0.0,0.0,0.0,0.0,0.0,39,21,18,0,37,15,0,0,0
4,1400200020331,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0
1,1400200040187,0.0,0.0,0.0,0.0,0.0,3039,1530,1509,604,2434,927,3,13,15
4,1400300010061,0.0,0.0,0.0,0.0,0.0,399,202,197,81,318,139,0,0,0
4,1400300010076,0.0,0.0,0.0,0.0,0.0,519,266,253,109,410,169,0,0,0
4,1400300010080,0.0,0.0,0.0,0.0,0.0,338,172,166,69,269,118,0,0,0
0,1400300010095,0.0,0.0,0.0,0.0,0.0,1763,902,861,380,1383,571,0,0,0
3,1400300010108,2.0,5.0,7.0,6.0,2.0,2886,1380,1506,645,2241,1035,0,0,0
1,1400300010112,0.0,0.0,0.0,0.0,0.0,3335,1676,1659,798,2537,1172,0,0,0
1,1400300010127,0.0,0.0,0.0,0.0,0.0,2887,1398,1489,593,2294,1093,0,0,0
1,1400300010131,1.0,2.0,3.0,1.0,0.0,3330,1645,1685,721,2609,1183,0,0,0
4,1400300010146,1.0,5.0,9.0,7.0,0.0,565,297,268,115,447,185,0,0,0
4,1400300010150,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0
4,1400300010165,0.0,0.0,0.0,0.0,0.0,279,144,135,70,209,87,0,0,0
4,140030001017A,0.0,0.0,0.0,0.0,0.0,106,55,51,21,85,33,0,0,0
4,1400300010184,0.0,0.0,0.0,0.0,0.0,13,4,9,0,11,5,0,0,0
4,1400300010199,0.0,0.0,0.0,0.0,0.0,554,317,237,93,461,142,4,0,0
4,1400300010201,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,2,0,0,0
4,1400300010216,0.0,0.0,0.0,0.0,0.0,20,13,7,4,16,7,0,0,3
4,1400300010220,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0
0,1400300380235,0.0,0.0,0.0,0.0,0.0,1282,628,654,272,1010,447,0,0,7
4,140030038024A,1.0,2.0,1.0,1.0,1.0,848,394,454,248,600,269,0,0,0
4,1400300380254,0.0,0.0,0.0,0.0,0.0,603,315,288,144,459,218,0,0,0
0,140040001004A,1.0,2.0,2.0,6.0,1.0,1162,560,602,272,890,504,0,0,0
0,1400400010054,0.0,0.0,0.0,0.0,0.0,1751,848,903,383,1367,743,0,0,0
4,1400400010069,0.0,0.0,0.0,0.0,0.0,40,23,17,0,40,15,0,0,0
4,1400400010073,0.0,0.0,0.0,0.0,0.0,72,32,40,15,57,28,0,0,0
0,1400500010047,0.0,0.0,0.0,0.0,0.0,1809,904,905,542,1267,546,0,0,0
4,1400500010051,0.0,0.0,0.0,0.0,0.0,945,453,492,319,626,342,0,0,0
0,1400500010066,1.0,2.0,6.0,3.0,0.0,2277,1092,1185,739,1537,712,0,0,3
0,1400500010070,1.0,4.0,7.0,7.0,0.0,2629,1305,1324,674,1954,766,0,5,0
0,1400500010085,0.0,0.0,0.0,0.0,0.0,1757,843,914,522,1235,539,0,0,0
0,140050001009A,0.0,0.0,0.0,0.0,0.0,1608,791,817,477,1131,459,0,0,0
4,1400500010102,0.0,0.0,0.0,0.0,0.0,378,200,178,130,248,104,0,0,0
4,1400500010117,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0
4,1400500010121,0.0,0.0,0.0,0.0,0.0,38,21,17,17,21,9,0,0,0
4,1400500010136,0.0,0.0,0.0,0.0,0.0,219,118,101,82,137,70,0,0,0
4,1400500010140,0.0,0.0,0.0,0.0,0.0,181,99,82,0,181,48,0,0,0
4,1400500010155,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
