clusters,CVEGEO,total_hospitales_z,total_consultorios_z,total_medicos_z,total_enfermeros_z,total_practicantes_medicos_z,POBTOT_z,POBMAS_z,POBFEM_z,PSINDER_z,PDER_SS_z,VIVTOT_z,VPH_S_ELEC_z,VPH_AGUAFV_z,VPH_NODREN_z
0,1400100010122,3,661,553,784.0,1638,17602.0,8368.0,9234.0,3538.0,14063.0,6649.0,6.0,6.0,6.0
0,1400200010030,0,0,0,0.0,10,3536.0,1732.0,1804.0,636.0,2899.0,1190.0,1.0,1.0,1.0
0,1400200020045,9,36,30,21.0,10,353.0,177.0,176.0,111.0,241.0,111.0,0.0,0.0,0.0
0,1400300010146,9,21,13,5.0,10,31384.0,15516.0,15867.0,7183.0,24201.0,11670.0,33.0,11.0,33.0
0,1400500010066,1,9,2,3.0,10,8471.0,4134.0,4337.0,1330.0,7141.0,2671.0,1.0,1.0,1.0
0,1400600010203,0,3,6,2.0,0,109.0,57.0,52.0,22.0,86.0,35.0,0.0,0.0,0.0
0,1400800010195,1,1,4,1.0,10,2342.0,1123.0,1219.0,760.0,1581.0,732.0,1.0,1.0,3.0
0,1400900010065,2,72,42,120.0,40,2758.0,1309.0,1448.0,447.0,2309.0,1041.0,4.0,5.0,1.0
0,1401300010053,1,4,8,2.0,10,1278.0,623.0,654.0,589.0,689.0,461.0,0.0,0.0,0.0
0,1401500010058,4,0,0,0.0,0,2128.0,1031.0,1097.0,675.0,1452.0,690.0,0.0,0.0,0.0
0,1401600010093,0,8,17,24.0,0,4773.0,2305.0,2468.0,1021.0,3750.0,1674.0,1.0,1.0,1.0
0,1401700010071,0,67,372,587.0,0,8060.0,3822.0,4238.0,1580.0,6471.0,3800.0,2.0,2.0,2.0
4,1401800010276,25,20,16,16.0,160,6921.0,3304.0,3616.0,3793.0,3120.0,2314.0,2.0,2.0,10.0
0,1401900010131,5,21,8,24.0,1,3356.0,1619.0,1736.0,1238.0,2113.0,1396.0,2.0,2.0,8.0
0,1402100010356,1,3,7,2.0,10,1175.0,573.0,602.0,379.0,795.0,406.0,1.0,1.0,1.0
0,1402200010211,4,102,8,12.0,40,585.0,296.0,289.0,22.0,563.0,202.0,1.0,0.0,0.0
0,1402200330230,0,16,20,121.0,10,328.0,158.0,169.0,23.0,304.0,127.0,0.0,0.0,0.0
0,1402300010238,2,0,0,0.0,0,1168.0,568.0,599.0,309.0,857.0,420.0,0.0,0.0,0.0
0,1402400010080,4,16,12,3.0,10,1723.0,837.0,885.0,557.0,1165.0,869.0,1.0,1.0,1.0
0,1402500010139,1,1024,2162,40.0,8409,4384.0,2184.0,2199.0,745.0,3637.0,1762.0,1.0,1.0,1.0
0,1403000010232,1,2,4,1.0,10,2729.0,1301.0,1428.0,684.0,2045.0,1119.0,1.0,1.0,1.0
0,140440002012A,1,2,3,9.0,10,1155.0,545.0,609.0,337.0,817.0,463.0,0.0,0.0,0.0
0,1403300010094,0,2,7,5.0,0,1697.0,782.0,915.0,733.0,964.0,645.0,1.0,1.0,1.0
0,1403500010296,0,0,1,0.0,0,3732.0,1825.0,1907.0,1018.0,2712.0,1144.0,1.0,1.0,1.0
4,1403600010096,25,81,28,49.0,90,1225.0,560.0,665.0,797.0,428.0,632.0,1.0,1.0,1.0
0,1403700010110,8,21,30,60.0,490,697.0,323.0,374.0,236.0,460.0,304.0,0.0,0.0,0.0
